"","retention_time","c_mean","n_mean","l_mean","ln_mean","z_mean","zn_mean","zl_mean","zln_mean","z_fvalue","l_fvalue","n_fvalue","zl_fvalue","zn_fvalue","ln_fvalue","zln_fvalue","significant05?","significant01?","main_significant05?","main_significant01?"
"1726","21.93919167",8.709,9.557,9.954,9.418,9.87,8.992,7.761,8.724,0.212969608857589,0.542924917400704,0.973941438323144,0.0345216399943091,0.775547016920528,0.860817325711164,0.0394449900048351,TRUE,FALSE,FALSE,FALSE
"1727","21.9392",9.872,10.27,10.96,10.415,10.804,9.864,8.55,9.165,0.146721849014536,0.455208509293256,0.658764923447932,0.0369621867659342,0.851900491284912,0.804889988062708,0.190364075919024,TRUE,FALSE,FALSE,FALSE
"1728","21.93925",8.364,8.759,9.565,8.298,8.476,8.644,7.454,8.111,0.179550658616743,0.700532627800229,0.844275154897563,0.158528853011467,0.280303600509593,0.392813887297654,0.161168759813482,FALSE,FALSE,FALSE,FALSE
"1729","21.93925",9.977,9.896,10.565,10.469,10.57,9.613,8.439,9.061,0.0933892460863905,0.468477650991294,0.611644088063461,0.033483452845207,0.842941859427264,0.385339444252692,0.348792930356163,TRUE,FALSE,FALSE,FALSE
"1730","21.9393",8.861,9.381,9.48,9.565,9.79,8.827,7.975,8.49,0.202899395919199,0.458379433498963,0.953971269818249,0.0618253545431653,0.417546078257471,0.535307472201857,0.206874995765523,FALSE,FALSE,FALSE,FALSE
"1731","21.94025",7.938,8.182,8.64,8.236,8.661,8.141,7.267,7.609,0.380923144370218,0.428837158929297,0.651090328171192,0.0408271490977215,0.926186464556112,0.918621820254766,0.227756040688548,TRUE,FALSE,FALSE,FALSE
"1732","21.94279167",8.688,8.979,9.371,9.036,9.48,8.75,7.808,8.45,0.395177654122511,0.517891676918305,0.790373076610765,0.0958999898034138,0.897516665396307,0.679128628059766,0.194168322937179,FALSE,FALSE,FALSE,FALSE
"1733","21.94335",7.892,7.796,8.763,8.357,8.764,7.996,7.262,7.703,0.556941624801078,0.930035323372189,0.434750898162951,0.0359701419296145,0.977777674883834,0.574263116335086,0.293993162393746,TRUE,FALSE,FALSE,FALSE
"1734","21.945225",8.52,8.783,9.185,8.997,9.058,8.576,7.157,8.005,0.0920712131662893,0.347404444029987,0.926461608423919,0.0222910058065324,0.915669571999413,0.567942930155213,0.194456523693143,TRUE,FALSE,FALSE,FALSE
"1735","21.94693333",11.397,11.024,12.17,11.377,12.004,11.566,9.504,10.389,0.397711311490475,0.365969903793803,0.621542699460896,0.0596276515329473,0.538027129884897,0.736757845190137,0.466918468445155,FALSE,FALSE,FALSE,FALSE
"1736","21.94704167",9.312,10.348,11.044,10.252,10.558,9.915,8.592,8.252,0.116275700249129,0.394864993587702,0.646362007765604,0.0161913216743656,0.553221077523436,0.439395364917903,0.320174287568651,TRUE,FALSE,FALSE,FALSE
"1737","21.94725",9.878,9.911,10.649,10.134,10.609,9.575,8.374,9.251,0.141269482763771,0.441332109725427,0.521366779959058,0.0417574753513813,0.944065113949352,0.446796559513962,0.130103985144912,TRUE,FALSE,FALSE,FALSE
"1738","21.947425",8.621,9.162,9.598,8.882,9.367,8.54,7.754,8.258,0.188678072524199,0.533102364164272,0.630953565087701,0.122850742029789,0.850097581062298,0.960455988529074,0.106496763723183,FALSE,FALSE,FALSE,FALSE
"1739","21.95181667",9.849,10.079,10.695,10.453,10.592,9.68,8.399,9.256,0.127563317734999,0.556099355337731,0.807318144820056,0.0464846971239109,0.893039220162984,0.516958886354854,0.216186647745779,TRUE,FALSE,FALSE,FALSE
"1740","21.95208333",9.489,10.157,10.737,9.945,9.578,8.849,8.372,8.521,0.0513053003068081,0.886483836318849,0.711739971823015,0.306247795467336,0.820006912490172,0.767961503052719,0.341113231460043,FALSE,FALSE,FALSE,FALSE
"1741","21.95208333",9.135,9.831,10.176,8.774,10.175,9.131,8.162,7.555,0.229699200736919,0.114150977717006,0.256798524345104,0.112323879983844,0.654526612871797,0.416922899609567,0.258775862407839,FALSE,FALSE,FALSE,FALSE
"1742","21.95465833",9.703,9.758,10.453,9.937,9.702,9.565,8.3,8.843,0.0693521674614265,0.578223177369931,0.851336906757017,0.0907445393040726,0.643572362503014,0.983433667714579,0.46609494971047,FALSE,FALSE,FALSE,FALSE
"1743","21.974225",7.838,8.645,8.725,8.461,8.832,8.288,7.314,7.92,0.437982024940559,0.478920805981561,0.77268624498064,0.0668607844125015,0.648997119251426,0.969153073850815,0.102699953340626,FALSE,FALSE,FALSE,FALSE
"1744","21.97768333",7.121,7.597,8.026,5.477,8.537,7.681,6.351,6.669,0.595656516722983,0.10406607317346,0.263442810051059,0.491823597226588,0.587294042370501,0.419164472489901,0.110999476969841,FALSE,FALSE,FALSE,FALSE
"1745","22.159",7.322,7.037,6.63,6.308,5.889,7.396,6.077,6.568,0.377456134602051,0.150597480986824,0.312742100951883,0.557530273239228,0.0548627529138626,0.473861021236469,0.481319390884407,FALSE,FALSE,FALSE,FALSE
"1746","22.16535",6.859,6.763,7.032,6.175,5.58,6.759,6.164,6.429,0.13830495862215,0.909169981366761,0.690824560183582,0.576426268254462,0.0511954913736808,0.188491837504386,0.902958313079224,FALSE,FALSE,FALSE,FALSE
"1747","22.4513",5.809,6.316,5.845,6.465,5.441,6.046,5.281,5.907,0.111865932109953,0.977051182324081,0.0249663154322121,0.635147665587383,0.91933215528518,0.889135328559191,0.927594175734039,TRUE,FALSE,TRUE,FALSE
"1748","22.45260833",6.477,7.845,6.98,7.744,7.348,7.323,6.001,6.854,0.259724268307405,0.281106776077667,0.0104943069636136,0.0436589584205557,0.191611728184452,0.860122430948237,0.169053190802353,TRUE,FALSE,TRUE,FALSE
"1749","22.4554",7.211,8.766,7.92,8.49,8.386,8.125,6.618,7.86,0.40216051845542,0.292039325032729,0.0178972734286223,0.0499155368362292,0.269747425141269,0.752980499438328,0.040629875782332,TRUE,FALSE,TRUE,FALSE
"1750","22.45856667",5.723,7.198,6.211,7.108,6.681,6.538,5.639,6.374,0.499614948244991,0.601495605215249,0.0143552014482635,0.161743762651152,0.1039922599616,0.851821619051376,0.205568302970105,TRUE,FALSE,TRUE,FALSE
"1751","22.46139167",4.699,5.285,5.032,4.773,5.017,5.602,5.042,5.347,0.132229790778103,0.681009694623771,0.15851910780109,0.953321551998596,0.486510508042584,0.178977914619616,0.50957702985841,FALSE,FALSE,FALSE,FALSE
"1752","22.74691667",9.133,9.445,8.107,8.669,7.549,8.986,7.936,8.658,0.137465475280354,0.228716641117406,0.0296128692489067,0.189592418922368,0.331891697188938,0.770545090514441,0.492779421299391,TRUE,FALSE,TRUE,FALSE
"1753","23.21388333",7.617,7.044,7.52,6.99,7.452,6.896,7.53,7.142,0.816447924348594,0.944984536783351,0.0646467344612765,0.64489221284491,0.897423602368257,0.851427445002854,0.908681425413789,FALSE,FALSE,FALSE,FALSE
"1754","23.21418333",9.307,9.149,8.635,8.839,9.319,8.639,9.029,8.713,0.636855859037865,0.0270987795529513,0.119935252361044,0.192252943268489,0.0629350337467778,0.207535211533037,0.997735253228061,TRUE,FALSE,TRUE,FALSE
"1755","23.21430833",8.997,9.336,8.973,8.528,9.74,8.292,9.118,8.685,0.96644391596384,0.395445526329528,0.157271239650243,0.654676744642599,0.175891266506739,0.927098404587844,0.198395155591287,FALSE,FALSE,FALSE,FALSE
"1756","23.21486667",7.224,6.895,6.2,6.396,7.563,6.372,6.778,6.224,0.830488611255503,0.0100320053738639,0.0630849483633893,0.554054972195772,0.0877298872944347,0.23711116305857,0.907881801088825,TRUE,FALSE,TRUE,FALSE
"1757","23.215225",9.704,9.808,9.108,9.389,9.885,9.415,9.465,8.857,0.58328255507027,0.00711524823257254,0.421570197687985,0.94282330144809,0.0592110364466781,0.938114246135614,0.675786358681133,TRUE,TRUE,TRUE,TRUE
"1758","23.21561667",8.428,8.265,7.264,7.65,8.3,7.55,8.018,7.448,0.68532761329275,0.0116207633795059,0.279236756153686,0.139724664582674,0.0852104895305267,0.401354063296113,0.680331196743289,TRUE,FALSE,TRUE,FALSE
"1759","23.22083333",7.422,7.672,6.492,7.4,7.975,7.147,7.815,6.958,0.331181646895957,0.0340244622666397,0.674375563041963,0.38631330690429,0.00105506452696892,0.408963320196403,0.398182015219601,TRUE,TRUE,TRUE,FALSE
"1760","23.22116667",9.119,8.918,8.215,8.662,9.163,8.327,8.874,7.532,0.467913453641184,0.123246114433908,0.276198754438989,0.9486813288686,0.145788261220426,0.895347418843832,0.475188332996627,FALSE,FALSE,FALSE,FALSE
