Sample,CON 13,CON 14,CON 15,CON 16,CON 17,CON 18,L 13,L 14,L 15,L 16,L 17,L 18,LN 13,LN 14,LN 15,LN 16,LN 17,LN 18,N 13,N 14,N 15,N 16,N 17,N 18,Z 13,Z 14,Z 15,Z 16,Z 17,Z 18,ZL 15,ZL 16,ZL 17,ZL 18,ZLN 13,ZLN 14,ZLN 15,ZLN 16,ZLN 17,ZLN 18,ZN 13,ZN 14,ZN 15,ZN 16,ZN 17,ZN 18
Class,1_Con,1_Con,1_Con,1_Con,1_Con,1_Con,3_L,3_L,3_L,3_L,3_L,3_L,7_LN,7_LN,7_LN,7_LN,7_LN,7_LN,4_N,4_N,4_N,4_N,4_N,4_N,2_Z,2_Z,2_Z,2_Z,2_Z,2_Z,5_ZL,5_ZL,5_ZL,5_ZL,8_ZLN,8_ZLN,8_ZLN,8_ZLN,8_ZLN,8_ZLN,6_ZN,6_ZN,6_ZN,6_ZN,6_ZN,6_ZN
7.475667,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,1500,2500,1500,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,2362,1500,1500,2500,1500,2500,1500,1500,2500
7.48325,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,5820,2710,11526,11977,4137,1500,2500,1500,2500,1500,1500,3017,2500,1500,3556,1500,8225,2500,2500,2500,1500,1500,2500,1500,1500,2500,1500,4749,1500,2500,1500,2500,1500,1500,2500
7.49085,4063,1500,1500,1500,1500,1500,2500,5178,2500,2500,1500,7049,2500,4866,2884,2822,3324,3273,2500,4852,2500,3985,2830,1500,2500,1500,2671,3182,1500,1500,1500,5034,2500,1500,2500,2500,4566,2500,4748,2500,1500,2500,1500,2500,2500,1500
7.513617,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,1500,2500,1500,2500,1500,3155,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2725,2072,1500,1500,2500,1500,2500,1500,1500,2500
7.536383,1500,2500,2500,2500,2500,2500,1500,1500,1500,4393,2500,2500,2738,11811,11404,3739,1500,2500,1500,2500,1500,1500,2874,2500,1500,2500,1500,2500,3322,2500,2500,1500,1500,2500,1500,1500,2500,5813,1500,1500,2500,1500,2500,1500,1500,2500
7.543967,2500,1500,1500,1500,1500,1500,2500,4046,2500,2500,1500,3757,2500,2500,1500,1500,3465,1500,2500,2887,2500,2500,1500,1500,2500,1500,2500,1500,1500,1500,1500,2500,2500,1500,2500,2500,1500,2500,2500,2500,1500,2500,1500,2500,2500,1500
7.55155,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,5352,2745,1500,12277,4114,1500,2500,1500,2500,1500,1500,3685,2500,1500,3400,6946,2500,2500,2500,2500,1500,1500,2598,1500,1500,2500,6444,5027,1500,2500,1500,2500,2639,2753,2500
7.55915,8731,4163,3042,166964,10196,10640,3245,8494,2500,4914,7018,6359,3192,5218,9506,5938,13365,12215,12219,12282,10104,11727,11355,3391,13212,2772,25113,32823,2819,4480,10201,8971,4707,3627,2500,4565,12255,52698,11457,8125,2031,8025,1500,7706,3495,11900
7.566733,1500,2500,2500,2500,4408,6977,1500,2175,1500,1500,3031,2500,1500,2266,3343,2500,5772,2566,9631,2500,1500,1500,2500,2500,6020,2500,2112,2500,2500,2615,8013,2329,1500,2500,1500,1500,9438,1500,3011,5622,2500,2077,2500,2389,1500,3439
7.581917,1500,2500,2500,51137,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2500,3863,1500,2500,1500,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,14017,4351,1500,2500,1500,2500,2691,1500,2500
7.597084,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,1500,2500,1500,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,1500,1500,1500,2500,1500,2500,1500,1500,2500
7.61985,2500,1500,1500,190060,1500,1500,2500,2500,2500,2500,1500,1500,2500,2500,1500,1500,3760,1500,2500,1500,2500,2500,1500,1500,2500,1500,2500,1500,1500,1500,1500,2500,2500,1500,2500,2500,6023,37975,2500,2500,1500,2500,1500,2500,2500,1500
7.642617,2572,2500,2500,36877,2500,2500,1500,2931,1500,1500,2500,2500,1500,1500,2500,2500,1500,2837,1500,3103,2469,2314,2500,2500,1500,2500,4908,6316,2500,2500,2500,1500,1500,2500,1500,1500,2500,11784,1500,1500,2500,1500,2500,1500,1500,2500
7.665383,3352,2500,2500,2581,2500,2500,3360,1500,8324,5935,2500,3754,9245,5252,6907,2500,1500,2500,1500,2500,3054,1500,2500,8234,1500,6443,1500,2500,8696,3742,2500,2567,4480,5590,1500,1500,15044,2304,1500,1500,6261,1500,2500,3424,4104,2500
7.680567,11940,5067,4587,2500,20246,10630,6437,14692,14817,13390,19117,2500,17967,1500,19741,7716,28147,21899,1500,12447,28481,12143,8873,15852,20552,20150,1500,11660,16632,6972,24990,23136,9138,12089,1500,4513,24255,1500,18941,26419,12203,22688,5117,18721,25519,21800
