Sample,CON13,CON14,CON15,CON16,CON17,CON18,L13,L14,L15,L16,L17,L18,LN13,LN14,LN15,LN16,LN17,LN18,N13,N14,N15,N16,N17,N18,Z13,Z14,Z15,Z16,Z17,Z18,ZL15,ZL16,ZL17,ZL18,ZLN13,ZLN14,ZLN15,ZLN16,ZLN17,ZLN18,ZN13,ZN14,ZN15,ZN16,ZN17,ZN18
6.123117,198116.498900,33808.673960,250735.855600,30244.587410,3118.500211,404236.797700,7936.359580,16188.223310,111163.559600,8641.489131,42175.521050,46832.002900,195723.217500,66723.453440,138505.805500,67966.093670,59238.956090,25721.554860,22289.071580,116976.381100,91878.902670,55903.365870,5532368.631000,39.469292,36823.886310,179424.676500,80761.230100,11127.557210,32.638264,36651.085050,435752.859100,3636.517414,45087.077300,215153.140000,50764.757940,147137.406500,222327.403200,51970.242840,604482.825800,2115225.790000,16841.669280,16358.421550,228513.591400,8804.540558,596810.725200,25660.025110
6.129042,3961.919259,47.671589,92096.715740,1306.651910,128.047682,154508.918300,16.744095,1088.744392,8203.370995,2752.841010,19.939430,7034.079490,4010.985512,1329.529199,1104.619623,1165.883470,2841.029665,5413.803977,260.263537,586.466886,960.050848,3290.637386,867666.219600,47.380732,325.688049,6954.828523,1118.222894,3198.778063,35.131703,16787.033550,12162.032530,815.899521,6161.752654,25527.907140,62.071380,2778.300644,16218.791620,13772.458710,168242.039600,204602.566400,529.122686,1562.330152,3826.965012,28.976843,72266.097510,2897.018905
6.129692,15039.785450,7.714261,80683.916050,615.178643,109.828617,103809.003000,632.833818,1099.984050,24229.128810,11273.346040,21.187704,8209.840535,16706.105820,832.717858,2665.533274,13460.487070,5231.473032,48.588969,2589.472312,5163.477887,840.974018,9166.379647,802522.749500,44.851880,354.401407,5018.591776,571.363030,3153.465037,3594.029459,21889.445510,11243.055670,7274.242636,10259.507840,275.726276,16.402268,3028.272873,3372.621847,8317.241487,153050.807900,940321.843000,3190.872321,1429.519325,3523.795342,2777.343793,22952.928690,1761.390956
6.135592,84433.850730,581.756130,211291.685000,42274.326110,61.306474,274705.878000,29.446305,4825.653196,91889.040650,51358.761470,776.590703,72348.009240,140202.917400,22101.517400,64502.610590,15862.765510,35256.647210,82926.856820,32776.057370,50185.518630,70081.342750,93449.435950,5322216.500000,40.073288,57216.242000,93330.315580,43985.885840,273.397020,32.706447,41644.019060,229568.985900,34.015470,1180.991799,333745.771700,4069.301453,29038.069610,67274.909200,54018.129940,383877.576900,4034403.655000,96139.089780,107452.775700,43887.260950,33.093133,795324.475400,10253.527820
6.140967,206.129884,104.534352,12677.973690,471.515418,3897.709590,12662.219720,151.761796,120.211944,2200.857539,3986.506141,18.276505,1109.053563,1469.782977,320.166682,532.913315,5172.844577,373.547047,6277.808883,81.532735,513.031147,90.168770,778.616296,221741.136800,58.475912,227.433928,3649.316660,328.480491,495.507876,642.544257,321.001688,4776.968609,441.840840,752.111539,9450.991272,294.944702,1914.704549,1652.178482,3551.648709,33747.182420,10476.146780,276.324150,334.611405,833.448182,930.973180,104426.524400,6207.957594
6.142383,19249.904080,1422.098352,85063.793030,417.507784,2004.603040,96160.936050,24.664449,19256.831290,19423.385310,5402.667977,1460.194292,10546.761470,34907.967810,20784.016940,9645.798007,10692.524270,13474.671620,5198.282796,1924.617355,20491.205300,12674.860500,13675.250990,1281243.820000,40896.542540,13546.056580,26559.126160,6718.225317,1087.168724,32.794182,74972.333470,78989.926880,4802.162783,10867.906410,40843.873340,2212.017470,13193.283430,13725.293710,21270.754850,66803.804360,1397606.556000,31081.529060,32198.216050,12857.052610,31.367032,3251.011519,37.342077
6.150500,3164.519873,133.010284,3539.862757,3334.259379,1968.440085,15574.354010,720.051553,801.725441,1814.619650,3340.839092,1817.870203,3885.742489,1065.825190,2240.362406,601.509141,3197.426920,855.862675,1863.239690,2343.394728,2176.719470,448.322458,1156.141934,50797.405990,3783.453880,394.995224,429.687707,1068.761516,2327.390884,35.464867,10288.232780,13893.425500,4500.231637,5947.151553,24924.913190,14.338497,756.358511,907.359251,4122.249759,19852.493230,36411.821420,1764.096101,1709.462434,2046.870820,879.740709,33605.754240,2835.624741
6.151450,91355.999440,51587.158900,311742.956600,150453.537200,154090.005300,192069.155600,102682.782000,124000.791800,100886.177900,234639.430600,183507.147500,282312.346400,175522.560600,58633.148240,113859.426800,196387.308800,111094.156600,184025.344500,96378.332940,108497.806800,101324.675100,86738.554440,566019.941100,178793.494700,70442.948140,173257.176500,124139.479400,61921.101220,202647.235400,362224.113200,314684.350300,58131.772250,193452.432400,112573.716000,10903.807950,110836.654700,189531.883100,126804.996200,458658.927000,849087.631300,96071.298260,152023.882200,174632.653200,200411.462000,585415.611000,217405.954400
6.163000,236355.906800,14395.237040,297055.465200,153257.950500,263998.725300,343703.944400,122555.372100,104859.926700,274743.832800,2192.476220,8631.950155,1122.623625,242044.672000,163266.544700,146414.236800,277534.965700,171526.429000,255812.261000,87221.422290,191507.746400,169118.705900,198905.892300,1696685.859000,156300.722900,143070.020700,212743.733600,155588.901100,135747.659100,265731.071900,320580.514500,332706.536400,155161.587900,264652.056700,212272.783700,19515.321410,188415.346000,198917.009000,132679.157200,355110.563000,1019172.124000,110928.198700,115655.298400,156315.435700,337168.109200,589670.241000,154808.746900
6.166350,67356.151110,30831.743990,180437.999700,66564.139260,135913.787800,259707.216700,75472.054130,105012.797400,165181.680800,136068.679200,85953.988940,196755.938900,117906.228100,102302.352700,103577.380600,60663.809130,75957.297930,204178.117800,67429.847730,84553.997880,73929.558770,89047.831510,1876625.358000,139408.565400,72122.400480,110132.611300,80031.049940,127086.855200,141454.406200,223597.694900,223736.459700,124986.424300,67212.170900,192117.281200,17555.869120,112292.196800,86461.067060,100267.736100,204310.384100,942001.629600,74730.369380,118286.322300,93806.590740,98291.325140,110620.236500,168194.951600
6.168892,1609.442924,35405.856280,7712.282278,1055.475555,30256.551460,16383.256310,7464.521487,423.521379,5214.436188,23616.019450,6582.323892,4671.599968,2357.834297,814.318091,586.879275,2373.151602,1434.484305,1252.620624,5319.733690,764.187918,398.181446,1337.620125,293601.918500,20065.868540,36179.753630,2533.148171,668.107274,23643.533550,1859.512708,13183.855370,5160.030016,1662.354852,1981.563094,22940.270830,49710.546390,1140.409164,1211.839793,3453.555010,16754.412970,444347.444400,10627.439030,892.472657,2838.917592,6546.682812,60636.610670,1618.983904
6.170075,1012985.700000,166550.445600,1226790.483000,968534.216200,1519239.912000,1195679.656000,47734.144150,1250126.746000,919061.470800,1403233.555000,1673897.371000,1657665.039000,1081970.634000,971931.572300,1000749.095000,1081682.363000,981754.098600,2630715.687000,1148184.552000,1005322.220000,963210.114600,945969.435500,2110891.173000,1744758.026000,1283949.047000,1041860.945000,874181.447600,1378642.085000,1954458.769000,2621528.074000,1393083.289000,1265634.717000,1031321.623000,1094639.001000,100535.931800,955095.221100,1144569.460000,1259310.830000,1226768.995000,1135707.620000,796653.662700,834820.202600,1037520.089000,1416289.169000,1586815.205000,1714873.128000
6.175683,8444.335646,5161.505635,12157.502180,9825.938480,23985.581020,59091.481550,6777.230907,8587.927563,8471.050687,10787.076820,9743.785158,23952.594490,6092.134569,504.285911,9090.130158,14918.731700,3679.070473,18033.366370,6996.619525,3429.166847,5891.231708,6718.651697,1004744.409000,19277.690900,3055.878241,6393.664509,4281.264444,8577.882039,22254.860740,38413.395400,2968.205658,9854.789080,13775.474460,45350.002130,17550.612610,4482.669042,12657.263310,17249.904260,61072.134470,964939.043400,4916.157251,7323.358903,4968.876139,11347.051550,194873.806900,26387.185720
6.176517,13608.583260,3101.751626,43807.485840,17141.420660,14905.573180,61719.885440,4982.273179,16344.219280,21792.672880,25017.811890,21021.039480,30295.130960,15530.305980,11881.906120,9748.861460,28921.158920,7177.181047,21397.024960,11439.467880,13444.485800,11785.570070,7795.854532,1163541.271000,14498.986850,2836.403621,5705.218402,12055.315660,8341.385963,13853.736940,38128.168610,39116.171220,18159.069330,10550.531940,93634.812090,3349.437445,8807.111515,24222.035330,11937.061060,71261.145310,608307.841200,12337.974590,15944.887630,17159.498940,13044.241870,200570.865800,29390.227300
6.178125,7177955.481000,4749714.673000,9344108.213000,8534139.008000,7629758.139000,6174776.420000,10423221.230000,8779032.919000,6125286.911000,8046712.662000,10817842.380000,8706540.208000,14233152.510000,7486287.984000,7267665.339000,8083856.246000,8882645.483000,8459218.353000,8649095.369000,7589504.043000,8140280.146000,6910703.192000,3492973.607000,6152476.624000,11076364.810000,6593965.677000,7554399.016000,8100943.247000,7295722.446000,7890908.213000,8721512.987000,7665744.252000,7897890.053000,5462701.359000,48698.469300,7742394.974000,7459125.649000,8543180.583000,5883687.569000,2026970.157000,5115030.964000,7462117.124000,7566338.766000,8005926.290000,5762799.362000,9384326.983000
6.179633,1347.702582,115.278243,10236.376350,1615.708074,2212.429598,37219.623890,864.845676,1397.118012,3130.338735,3103.481364,1745.663574,3762.600007,1177.808705,1766.734190,1119.244264,3350.593346,1874.992153,2997.561517,651.841512,1183.246570,1199.198463,1597.474653,142672.600600,9722.882388,652.734668,1932.826477,1398.543359,3570.476621,7106.556425,10679.103380,10084.149660,1548.347711,1652.939229,20901.640050,2708.058042,1138.916936,6162.851358,2469.034708,12319.274640,97110.310210,2072.221992,2334.794823,751.154385,1914.200940,59013.952190,3783.867852
